Meta,LinkedIn,X,TikTok,Youtube,Snap,Instagram,روابط اعلانات,عدد الساعات,السعر (ريال),رابط البرنامج,تابي/تمارا,نوع القسط,طريقة الدفع,التاريخ,التقييم,مقر البرنامج,الجمهور المستهدف,نوع البرنامج,البرنامج,المدينة,النوع,رابط المنشاة,اسم المنشاة,N,Instagram_followers,X_followers
https://www.facebook.com/KhaleejTraining,https://sa.linkedin.com/company/khaleejtraining,https://x.com/khaleejTraining,,https://www.youtube.com/channel/UC_R9s3T23VEANGFkxpZGKwQ,https://www.snapchat.com/add/khaleejtraining,https://www.instagram.com/khaleej.training/,https://www.instagram.com/reel/C_zzFf3i8Ok/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,180,,https://training.alkhaleej.com.sa/diploma-ai/,,,,,,,المبتدئين,دبلوم,الذكاء الاصطناعي,مكة المكرمة,معهد عالي,https://alkhaleej.com.sa/,معهد الخليج العالي للتدريب,1,16645,32728
https://www.facebook.com/mharatws,,https://x.com/mharatws?lang=ar,,,,https://www.instagram.com/mharatws?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,https://www.instagram.com/p/DGQeEGzsjW3/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,180,11950,https://www.jicclms.com/,0,قسط شهري,كاش أو قسط,19/02/2025,,,المبتدئين,دبلوم,الذكاء الاصطناعي,مكة المكرمة,معهد عالي,https://www.jicclms.com/,معهد جدة الدولي العالي للتدريب,2,14773,54710
https://www.facebook.com/KhaleejTraining,https://sa.linkedin.com/company/khaleejtraining,https://x.com/khaleejTraining,,https://www.youtube.com/channel/UC_R9s3T23VEANGFkxpZGKwQ,https://www.snapchat.com/add/khaleejtraining,https://www.instagram.com/khaleej.training/,https://www.instagram.com/reel/C_zzFf3i8Ok/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,180,,https://training.alkhaleej.com.sa/diploma-ai/,,,,,,,المبتدئين,دبلوم,الذكاء الاصطناعي,خميس مشيط,معهد عالي,https://alkhaleej.com.sa/,معهد الخليج العالي للتدريب,3,16645,32728
https://www.facebook.com/mharatws,,https://x.com/mharatws?lang=ar,,,,https://www.instagram.com/mharatws?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,https://www.instagram.com/p/DGQeEGzsjW3/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,180,11950,https://www.jicclms.com/,0,قسط شهري,كاش أو قسط,19/02/2025,,,المبتدئين,دبلوم,الذكاء الاصطناعي,جدة,معهد عالي,https://www.jicclms.com/,معهد جدة الدولي العالي للتدريب,4,14773,54710
https://www.facebook.com/KhaleejTraining,https://sa.linkedin.com/company/khaleejtraining,https://x.com/khaleejTraining,,https://www.youtube.com/channel/UC_R9s3T23VEANGFkxpZGKwQ,https://www.snapchat.com/add/khaleejtraining,https://www.instagram.com/khaleej.training/,https://www.instagram.com/reel/C_zzFf3i8Ok/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,180,,https://training.alkhaleej.com.sa/diploma-ai/,,,,,,,المبتدئين,دبلوم,الذكاء الاصطناعي,الرياض,معهد عالي,https://alkhaleej.com.sa/,معهد الخليج العالي للتدريب,5,16645,32728
https://www.facebook.com/KhaleejTraining,https://sa.linkedin.com/company/khaleejtraining,https://x.com/khaleejTraining,,https://www.youtube.com/channel/UC_R9s3T23VEANGFkxpZGKwQ,https://www.snapchat.com/add/khaleejtraining,https://www.instagram.com/khaleej.training/,https://www.instagram.com/reel/C_zzFf3i8Ok/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,180,,https://training.alkhaleej.com.sa/diploma-ai/,,,,,,,المبتدئين,دبلوم,الذكاء الاصطناعي,بريدة,معهد عالي,https://alkhaleej.com.sa/,معهد الخليج العالي للتدريب,6,16645,32728
https://www.facebook.com/KhaleejTraining,https://sa.linkedin.com/company/khaleejtraining,https://x.com/khaleejTraining,,https://www.youtube.com/channel/UC_R9s3T23VEANGFkxpZGKwQ,https://www.snapchat.com/add/khaleejtraining,https://www.instagram.com/khaleej.training/,https://www.instagram.com/reel/C_zzFf3i8Ok/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,180,,https://training.alkhaleej.com.sa/diploma-ai/,,,,,,,المبتدئين,دبلوم,الذكاء الاصطناعي,مكة المكرمة,معهد عالي,https://alkhaleej.com.sa/,معهد الخليج العالي للتدريب,7,16645,32728
https://www.facebook.com/KhaleejTraining,https://sa.linkedin.com/company/khaleejtraining,https://x.com/khaleejTraining,,https://www.youtube.com/channel/UC_R9s3T23VEANGFkxpZGKwQ,https://www.snapchat.com/add/khaleejtraining,https://www.instagram.com/khaleej.training/,https://www.instagram.com/reel/C_zzFf3i8Ok/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,180,,https://training.alkhaleej.com.sa/diploma-ai/,,,,,,,المبتدئين,دبلوم,الذكاء الاصطناعي,الرياض,معهد عالي,https://alkhaleej.com.sa/,معهد الخليج العالي للتدريب,8,16645,32728
https://www.facebook.com/KhaleejTraining,https://sa.linkedin.com/company/khaleejtraining,https://x.com/khaleejTraining,,https://www.youtube.com/channel/UC_R9s3T23VEANGFkxpZGKwQ,https://www.snapchat.com/add/khaleejtraining,https://www.instagram.com/khaleej.training/,https://www.instagram.com/reel/C_zzFf3i8Ok/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,180,,https://training.alkhaleej.com.sa/diploma-ai/,,,,,,,المبتدئين,دبلوم,الذكاء الاصطناعي,الرياض,معهد عالي,https://alkhaleej.com.sa/,معهد الخليج العالي للتدريب,9,16645,32728
https://www.facebook.com/KhaleejTraining,https://sa.linkedin.com/company/khaleejtraining,https://x.com/khaleejTraining,,https://www.youtube.com/channel/UC_R9s3T23VEANGFkxpZGKwQ,https://www.snapchat.com/add/khaleejtraining,https://www.instagram.com/khaleej.training/,https://www.instagram.com/reel/C_zzFf3i8Ok/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,180,,https://training.alkhaleej.com.sa/diploma-ai/,,,,,,,المبتدئين,دبلوم,الذكاء الاصطناعي,المدينة المنورة,معهد عالي,https://alkhaleej.com.sa/,معهد الخليج العالي للتدريب,10,16645,32728
,,,,,,https://www.instagram.com/aolksa/?hl=ar,https://www.instagram.com/p/DFpUcEoIUhB/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,180,,https://online.aol.edu.sa/product/%D8%AF%D8%A8%D9%84%D9%88%D9%85/%D8%AF%D8%A8%D9%84%D9%88%D9%85-%D8%A7%D9%84%D8%B0%D9%83%D8%A7%D8%A1-%D8%A7%D9%84%D8%A7%D8%B5%D8%B7%D9%86%D8%A7%D8%B9%D9%8A/66,,,,,,حضوري,المبتدئين,دبلوم,الذكاء الاصطناعي,الدمام,معهد عالي,https://online.aol.edu.sa/ar/page/ElearningPlatform,معهد أكاديمية التعلم العالي للتدريب,11,57581,
,,https://x.com/Maz__Sa,,,,https://www.instagram.com/Maz__Sa/,https://x.com/Maz__Sa/status/1608573096239452160,180,32400,https://mazsa.net/diploma/,0,قسط ربعي او نصفي,كاش أو قسط,30/12/2022,,حضوري,المبتدئين,دبلوم,الذكاء الاصطناعي,الرياض,معهد عالي,https://mazsa.net/,معهد ماز العالي للتدريب,12,3927,3471
,https://sa.linkedin.com/company/kci-sa,,,,,https://www.instagram.com/kci.training114/,https://www.instagram.com/p/DGARdSzNiEt/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,180,14000,https://www.instagram.com/p/DGARdSzNiEt/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,0,قسط شهري,كاش أو قسط,13/02/2025,,حضوري,المبتدئين,دبلوم,الذكاء الاصطناعي,جدة,معهد عالي,https://sa.linkedin.com/company/kci-sa,معهد خصائص المعرفة العالي للتدريب,13,1634,
